ID,Cena,localization,latitude,longitude,Oferta_od,Kategoria,Marka_pojazdu,Model_pojazdu,Rodzaj_paliwa,Moc,Pojemnosc_skokowa,Liczba_drzwi,Skrzynia_biegow,Wersja,Generacja,Segment,Kolor,Przebieg,Rok_produkcji,Naped,Spalanie_W_Miescie,Typ_nadwozia,Emisja_CO2,Liczba_miejsc,Rodzaj_koloru,Kraj_pochodzenia,Pierwszy_wlasciciel,Bezwypadkowy,Serwisowany_w_ASO,Stan,VAT_marza,Pierwsza_rejestracja,Numer_rejestracyjny_pojazdu,Zarejestrowany_w_Polsce,Filtr_czastek_stalych,Tuning,Mozliwosc_finansowania,Uszkodzony,Faktura_VAT,Spalanie_W_Cyklu_Mieszanym,Spalanie_Poza_Miastem,Okres_gwarancji_producenta,Leasing,Miesieczna_rata,lub_do_przebieg_km,Gwarancja_dealerska_w_cenie,Homologacja_ciezarowa,Oplata_poczatkowa,Liczba_pozostalych_rat,Wartosc_wykupu,Kierownica_po_prawej_Anglik,Zarejestrowany_jako_zabytek,Link
6084610823,127921.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,180,1398,3,Manualna,,,,Niebieski,3,2021,Na przednie koła,,Auta małe,,4,Matowy,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-595-180-km-competizione-edycja-abarth-131-rally-jeden-w-polsce-ID6DMpef.html#49f0648cc2
6087073327,41700.0,"Kalisz, Wielkopolskie",51.74736505,18.079590087700034,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,160,1368,3,Manualna,,,,Czarny,94300,2013,Na przednie koła,,Auta małe,,4,Metalik,,,Tak,,Używane,,,,Tak,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-1-4-t-jet-sport-160-km-manual-alu-17-ID6DVJQ3.html#49f0648cc2
6088018047,24400.0,"BISKUPA ROMANA 1 - 58-260 Bielawa, dzierżoniowski, Dolnośląskie (Polska)",50.6922738,16.6365882,Firmy,Osobowe,Abarth,Grande Punto,Benzyna,155,1368,3,Manualna,,,,Biały,183900,2008,Na przednie koła,,Kompakt,,5,,Niemcy,,,Tak,Używane,Tak,,,Tak,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-1-4-turbo-tuning-skora-kubly-ledy-klimatronik-gwint-ID6E0HBt.html#49f0648cc2
6085846018,34900.0,"Sulechów, zielonogórski, Lubuskie",52.0854782,15.6259091,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,140,1400,3,Manualna,,,,Szary,117000,2015,Na przednie koła,,Auta miejskie,,,,,Tak,,,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-abarth-klimatronik-panoramadach-ID6DRAyK.html#49f0648cc2
6082945517,112900.0,"Kartuska 424 - 80-125 Gdańsk, Jasień (Polska)",54.34571575,18.5318268323698,Firmy,Osobowe,Abarth,595,Benzyna,165,1400,3,Manualna,,,,Czarny,2,2021,Na przednie koła,,Auta małe,,4,Metalik,,,Tak,,Nowe,,,,,,,Tak,,Tak,,,,Tak,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-1-4-16v-t-jet-165km-scorpioneoro-2021-salon-r-schewe-ID6DFq0t.html#49f0648cc2
6084898159,43500.0,,,,Firmy,Osobowe,Abarth,Inny,Benzyna,75,1100,2,Manualna,,,,Srebrny,59000,1974,Na przednie koła,,Coupe,,4,,,,,,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-lancia-abart-a112-ID6DNBYH.html#49f0648cc2
6078552522,21900.0,"Gdynia, Pomorskie, Chwarzno-Wiczlino",54.5020496,18.419272789753748,Osoby prywatnej,Osobowe,Abarth,500,Benzyna,135,1368,3,Manualna,,,,Czarny,150100,2008,Na przednie koła,,Auta małe,,4,Metalik,Francja,,,,Używane,,23/12/2008,GD500HV,Tak,,,Tak,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-500-abarth-500-1-4t-czerwone-skory-17-ID6DmZbI.html#49f0648cc2
6082701646,102557.0,"ul. Karkonoska 45 - 53-015 Wrocław, Dolnośląskie (Polska)",51.0640542,16.9997513,Firmy,Osobowe,Abarth,595,Benzyna,165,1398,3,Manualna,,,,Czarny,3,2021,Na przednie koła,,Auta małe,,,Metalik,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-595-abarth-scorpioneoro-165-km-edycja-limitowana-2000-szt-ID6DEoz4.html#49f0648cc2
6088095775,36900.0,,,,Firmy,Osobowe,Abarth,Grande Punto,Benzyna,163,1368,3,Manualna,,,,Czerwony,146090,2012,Na przednie koła,,Auta miejskie,142,4,,,Tak,Tak,Tak,Używane,Tak,,,,,,,,,,,,,,,,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-oryginalny-abarth-1-4-t-jet-163km-i-wl-serwisowany-bezwypadkowy-unikat-ID6E11P9.html#49f0648cc2
6088537842,29900.0,"ul. Chrzanowska 12 B - 32-590 Libiąż, chrzanowski, Małopolskie (Polska)",50.1086583,19.336384438136808,Firmy,Osobowe,Abarth,Grande Punto,Benzyna,163,1400,3,Manualna,,,,Biały,190000,2011,Na przednie koła,,Coupe,,3,Metalik,Austria,Tak,Tak,Tak,Używane,Tak,,,,,,,,,,,,,,,3 miesięcy,,,,,,,https://www.otomoto.pl/oferta/abarth-grande-punto-abarth-punto-199-supersport-serwis-bezwypadek-1wlasciciel-ID6E2SPg.html#49f0648cc2
